名称,カテゴリー,アドレス,アクセス,築年数,構造,階数,家賃,管理費,敷金,礼金,間取り,面積,URL
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/荒川一中前駅 歩8分,築17年,8階建,6階,13.6万円,10000円,-,13.6万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000072850525/?bc=100274752745
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/三ノ輪橋駅 歩6分,築17年,8階建,4階,13.6万円,7000円,-,13.6万円,1LDK,38.24m2,https://suumo.jp/chintai/jnc_000069221107/?bc=100256915504
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/三ノ輪橋駅 歩6分,築17年,8階建,4階,13.5万円,10000円,-,13.5万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000073063309/?bc=100276127049
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/三ノ輪橋駅 歩6分,築17年,8階建,6階,13.6万円,10000円,-,13.6万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000072815906/?bc=100274637144
東京メトロ日比谷線 三ノ輪駅 8階建 築17年,賃貸マンション,東京都荒川区東日暮里２,都電荒川線/三ノ輪橋駅 歩6分,築17年,8階建,6階,13.6万円,10000円,-,13.6万円,1LDK,41.55m2,https://suumo.jp/chintai/jnc_000072850525/?bc=100274752745
ビスィクレート M special,賃貸マンション,東京都荒川区西日暮里１,京成本線/新三河島駅 歩2分,築16年,11階建,8階,15.3万円,8500円,15.3万円,15.3万円,2LDK,62.92m2,https://suumo.jp/chintai/jnc_000073063305/?bc=100276120859
ビスィクレート M special,賃貸マンション,東京都荒川区西日暮里１,京成本線/新三河島駅 歩2分,築16年,11階建,8階,15.3万円,11500円,15.3万円,15.3万円,2LDK,62.92m2,https://suumo.jp/chintai/jnc_000073070561/?bc=100275992152
ビスィクレート M special,賃貸マンション,東京都荒川区西日暮里１,ＪＲ常磐線/三河島駅 歩6分,築16年,11階建,8階,15.3万円,8500円,15.3万円,15.3万円,2LDK,62.92m2,https://suumo.jp/chintai/jnc_000073063305/?bc=100276120859
ビスィクレート M special,賃貸マンション,東京都荒川区西日暮里１,ＪＲ常磐線/三河島駅 歩6分,築16年,11階建,8階,15.3万円,11500円,15.3万円,15.3万円,2LDK,62.92m2,https://suumo.jp/chintai/jnc_000073070561/?bc=100275992152
ビスィクレート M special,賃貸マンション,東京都荒川区西日暮里１,東京メトロ千代田線/町屋駅 歩9分,築16年,11階建,8階,15.3万円,8500円,15.3万円,15.3万円,2LDK,62.92m2,https://suumo.jp/chintai/jnc_000073063305/?bc=100276120859
ビスィクレート M special,賃貸マンション,東京都荒川区西日暮里１,東京メトロ千代田線/町屋駅 歩9分,築16年,11階建,8階,15.3万円,11500円,15.3万円,15.3万円,2LDK,62.92m2,https://suumo.jp/chintai/jnc_000073070561/?bc=100275992152
ＪＲ京浜東北線 王子駅 4階建 築16年,賃貸マンション,東京都荒川区西尾久８,ＪＲ京浜東北線/王子駅 歩15分,築16年,4階建,2階,15万円,10000円,15万円,30万円,3LDK,61.99m2,https://suumo.jp/chintai/jnc_000072197924/?bc=100276135468
ＪＲ京浜東北線 王子駅 4階建 築16年,賃貸マンション,東京都荒川区西尾久８,ＪＲ高崎線/尾久駅 歩10分,築16年,4階建,2階,15万円,10000円,15万円,30万円,3LDK,61.99m2,https://suumo.jp/chintai/jnc_000072197924/?bc=100276135468
ＪＲ京浜東北線 王子駅 4階建 築16年,賃貸マンション,東京都荒川区西尾久８,都電荒川線/荒川車庫前駅 歩2分,築16年,4階建,2階,15万円,10000円,15万円,30万円,3LDK,61.99m2,https://suumo.jp/chintai/jnc_000072197924/?bc=100276135468
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/西日暮里駅 歩14分,築13年,14階建,2階,9.5万円,8000円,-,4.75万円,1K,30.79m2,https://suumo.jp/chintai/jnc_000068184533/?bc=100273262925
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/西日暮里駅 歩14分,築13年,14階建,2階,9.7万円,8000円,4.85万円,9.7万円,1K,30.79m2,https://suumo.jp/chintai/jnc_000070556844/?bc=100265062255
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/西日暮里駅 歩14分,築13年,14階建,2階,9.7万円,8000円,-,-,1K,30.79m2,https://suumo.jp/chintai/jnc_000070019585/?bc=100269168989
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/西日暮里駅 歩14分,築13年,14階建,4階,10万円,8000円,-,-,1K,30.49m2,https://suumo.jp/chintai/jnc_000068718259/?bc=100252703719
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/西日暮里駅 歩14分,築13年,14階建,14階,18万円,10000円,-,18万円,1SLDK,64.36m2,https://suumo.jp/chintai/jnc_000072565416/?bc=100273264066
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,築13年,14階建,2階,9.5万円,8000円,-,4.75万円,1K,30.79m2,https://suumo.jp/chintai/jnc_000068184533/?bc=100273262925
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,築13年,14階建,2階,9.7万円,8000円,4.85万円,9.7万円,1K,30.79m2,https://suumo.jp/chintai/jnc_000070556844/?bc=100265062255
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,築13年,14階建,2階,9.7万円,8000円,-,-,1K,30.79m2,https://suumo.jp/chintai/jnc_000070019585/?bc=100269168989
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,築13年,14階建,4階,10万円,8000円,-,-,1K,30.49m2,https://suumo.jp/chintai/jnc_000068718259/?bc=100252703719
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ常磐線/三河島駅 歩4分,築13年,14階建,14階,18万円,10000円,-,18万円,1SLDK,64.36m2,https://suumo.jp/chintai/jnc_000072565416/?bc=100273264066
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩10分,築13年,14階建,2階,9.5万円,8000円,-,4.75万円,1K,30.79m2,https://suumo.jp/chintai/jnc_000068184533/?bc=100273262925
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩10分,築13年,14階建,2階,9.7万円,8000円,4.85万円,9.7万円,1K,30.79m2,https://suumo.jp/chintai/jnc_000070556844/?bc=100265062255
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩10分,築13年,14階建,2階,9.7万円,8000円,-,-,1K,30.79m2,https://suumo.jp/chintai/jnc_000070019585/?bc=100269168989
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩10分,築13年,14階建,4階,10万円,8000円,-,-,1K,30.49m2,https://suumo.jp/chintai/jnc_000068718259/?bc=100252703719
Ｆ・Ｄ　ＶＩＬＬＥ,賃貸マンション,東京都荒川区東日暮里６,ＪＲ山手線/日暮里駅 歩10分,築13年,14階建,14階,18万円,10000円,-,18万円,1SLDK,64.36m2,https://suumo.jp/chintai/jnc_000072565416/?bc=100273264066
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,東京メトロ千代田線/町屋駅 歩6分,築6年,3階建,1階,7.7万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000073097517/?bc=100276155076
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,東京メトロ千代田線/町屋駅 歩6分,築6年,3階建,1-2階,7.8万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000060495503/?bc=100275582628
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,東京メトロ千代田線/町屋駅 歩6分,築6年,3階建,1階,7.85万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000072727934/?bc=100271174217
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,都電荒川線/町屋二丁目駅 歩2分,築6年,3階建,1階,7.7万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000073097517/?bc=100276155076
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,都電荒川線/町屋二丁目駅 歩2分,築6年,3階建,1-2階,7.8万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000060495503/?bc=100275582628
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,都電荒川線/町屋二丁目駅 歩2分,築6年,3階建,1階,7.85万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000072727934/?bc=100271174217
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,京成本線/町屋駅 歩7分,築6年,3階建,1階,7.7万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000073097517/?bc=100276155076
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,京成本線/町屋駅 歩7分,築6年,3階建,1-2階,7.8万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000060495503/?bc=100275582628
東京メトロ千代田線 町屋駅 3階建 築6年,賃貸アパート,東京都荒川区町屋２,京成本線/町屋駅 歩7分,築6年,3階建,1階,7.85万円,8000円,-,-,1DK,28.56m2,https://suumo.jp/chintai/jnc_000072727934/?bc=100271174217
堀切１丁目戸建,賃貸一戸建て,東京都葛飾区堀切１,京成本線/堀切菖蒲園駅 歩11分,築4年,2階建,2-1階,14.5万円,-,-,14.5万円,3LDK,77.83m2,https://suumo.jp/chintai/jnc_000073056226/?bc=100276026445
堀切１丁目戸建,賃貸一戸建て,東京都葛飾区堀切１,京成押上線/四ツ木駅 歩18分,築4年,2階建,2-1階,14.5万円,-,-,14.5万円,3LDK,77.83m2,https://suumo.jp/chintai/jnc_000073056226/?bc=100276026445
堀切１丁目戸建,賃貸一戸建て,東京都葛飾区堀切１,東武伊勢崎線/堀切駅 歩19分,築4年,2階建,2-1階,14.5万円,-,-,14.5万円,3LDK,77.83m2,https://suumo.jp/chintai/jnc_000073056226/?bc=100276026445
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,築21年,6階建,3階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000060540344/?bc=100270623499
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,築21年,6階建,2階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000056705446/?bc=100273415012
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,築21年,6階建,5階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000068033407/?bc=100272540083
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/西日暮里駅 歩4分,築21年,6階建,4階,14万円,10000円,14万円,14万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000071555435/?bc=100268591890
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/日暮里駅 歩9分,築21年,6階建,3階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000060540344/?bc=100270623499
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/日暮里駅 歩9分,築21年,6階建,2階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000056705446/?bc=100273415012
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/日暮里駅 歩9分,築21年,6階建,5階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000068033407/?bc=100272540083
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/日暮里駅 歩9分,築21年,6階建,4階,14万円,10000円,14万円,14万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000071555435/?bc=100268591890
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/田端駅 歩15分,築21年,6階建,3階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000060540344/?bc=100270623499
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/田端駅 歩15分,築21年,6階建,2階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000056705446/?bc=100273415012
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/田端駅 歩15分,築21年,6階建,5階,13万円,10000円,13万円,13万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000068033407/?bc=100272540083
コルトンハイツ,賃貸マンション,東京都荒川区西日暮里５,ＪＲ山手線/田端駅 歩15分,築21年,6階建,4階,14万円,10000円,14万円,14万円,1LDK,42.93m2,https://suumo.jp/chintai/jnc_000071555435/?bc=100268591890
ヴィラルーエ,賃貸マンション,東京都荒川区西尾久４,ＪＲ山手線/田端駅 歩10分,築3年,4階建,1階,11.7万円,6000円,11.7万円,11.7万円,1LDK,39.8m2,https://suumo.jp/chintai/jnc_000072857086/?bc=100274784564
ヴィラルーエ,賃貸マンション,東京都荒川区西尾久４,ＪＲ山手線/田端駅 歩10分,築3年,4階建,4階,12.7万円,6000円,12.7万円,25.4万円,1LDK,45.58m2,https://suumo.jp/chintai/jnc_000072602878/?bc=100273462236
ヴィラルーエ,賃貸マンション,東京都荒川区西尾久４,ＪＲ宇都宮線/尾久駅 歩10分,築3年,4階建,1階,11.7万円,6000円,11.7万円,11.7万円,1LDK,39.8m2,https://suumo.jp/chintai/jnc_000072857086/?bc=100274784564
ヴィラルーエ,賃貸マンション,東京都荒川区西尾久４,ＪＲ宇都宮線/尾久駅 歩10分,築3年,4階建,4階,12.7万円,6000円,12.7万円,25.4万円,1LDK,45.58m2,https://suumo.jp/chintai/jnc_000072602878/?bc=100273462236
ヴィラルーエ,賃貸マンション,東京都荒川区西尾久４,東京メトロ千代田線/西日暮里駅 歩19分,築3年,4階建,1階,11.7万円,6000円,11.7万円,11.7万円,1LDK,39.8m2,https://suumo.jp/chintai/jnc_000072857086/?bc=100274784564
ヴィラルーエ,賃貸マンション,東京都荒川区西尾久４,東京メトロ千代田線/西日暮里駅 歩19分,築3年,4階建,4階,12.7万円,6000円,12.7万円,25.4万円,1LDK,45.58m2,https://suumo.jp/chintai/jnc_000072602878/?bc=100273462236
PAPILLON,賃貸マンション,東京都荒川区町屋８,東京メトロ千代田線/町屋駅 歩9分,築11年,8階建,2階,10.3万円,7000円,5.15万円,10.3万円,1DK,42.16m2,https://suumo.jp/chintai/jnc_000027223273/?bc=100275629488
PAPILLON,賃貸マンション,東京都荒川区町屋８,京成本線/町屋駅 歩9分,築11年,8階建,2階,10.3万円,7000円,5.15万円,10.3万円,1DK,42.16m2,https://suumo.jp/chintai/jnc_000027223273/?bc=100275629488
PAPILLON,賃貸マンション,東京都荒川区町屋８,都電荒川線/荒川七丁目駅 歩10分,築11年,8階建,2階,10.3万円,7000円,5.15万円,10.3万円,1DK,42.16m2,https://suumo.jp/chintai/jnc_000027223273/?bc=100275629488
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,ＪＲ山手線/西日暮里駅 歩5分,築13年,11階建,3階,7.8万円,10000円,-,-,1K,25.05m2,https://suumo.jp/chintai/jnc_000071696303/?bc=100268777953
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,ＪＲ山手線/西日暮里駅 歩5分,築13年,11階建,4階,7.9万円,10000円,-,-,1K,25.02m2,https://suumo.jp/chintai/jnc_000072871107/?bc=100275088699
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,ＪＲ山手線/西日暮里駅 歩5分,築13年,11階建,3階,7.95万円,10000円,-,-,1K,25.59m2,https://suumo.jp/chintai/jnc_000042842746/?bc=100275516782
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,京成本線/新三河島駅 歩6分,築13年,11階建,3階,7.8万円,10000円,-,-,1K,25.05m2,https://suumo.jp/chintai/jnc_000071696303/?bc=100268777953
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,京成本線/新三河島駅 歩6分,築13年,11階建,4階,7.9万円,10000円,-,-,1K,25.02m2,https://suumo.jp/chintai/jnc_000072871107/?bc=100275088699
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,京成本線/新三河島駅 歩6分,築13年,11階建,3階,7.95万円,10000円,-,-,1K,25.59m2,https://suumo.jp/chintai/jnc_000042842746/?bc=100275516782
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,ＪＲ常磐線/三河島駅 歩12分,築13年,11階建,3階,7.8万円,10000円,-,-,1K,25.05m2,https://suumo.jp/chintai/jnc_000071696303/?bc=100268777953
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,ＪＲ常磐線/三河島駅 歩12分,築13年,11階建,4階,7.9万円,10000円,-,-,1K,25.02m2,https://suumo.jp/chintai/jnc_000072871107/?bc=100275088699
バージュアル西日暮里,賃貸マンション,東京都荒川区西日暮里６,ＪＲ常磐線/三河島駅 歩12分,築13年,11階建,3階,7.95万円,10000円,-,-,1K,25.59m2,https://suumo.jp/chintai/jnc_000042842746/?bc=100275516782
ＴＲＡＤＩＳＮＩＰＰＯＲＩ．Ｓ,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩7分,築13年,9階建,6階,7.8万円,14000円,-,-,1K,25.32m2,https://suumo.jp/chintai/jnc_000073011217/?bc=100272741197
ＴＲＡＤＩＳＮＩＰＰＯＲＩ．Ｓ,賃貸マンション,東京都荒川区東日暮里５,ＪＲ山手線/日暮里駅 歩7分,築13年,9階建,5階,7.9万円,14000円,-,-,1K,25.84m2,https://suumo.jp/chintai/jnc_000068566635/?bc=100251962861
ＴＲＡＤＩＳＮＩＰＰＯＲＩ．Ｓ,賃貸マンション,東京都荒川区東日暮里５,東京メトロ日比谷線/入谷駅 歩13分,築13年,9階建,6階,7.8万円,14000円,-,-,1K,25.32m2,https://suumo.jp/chintai/jnc_000073011217/?bc=100272741197
ＴＲＡＤＩＳＮＩＰＰＯＲＩ．Ｓ,賃貸マンション,東京都荒川区東日暮里５,東京メトロ日比谷線/入谷駅 歩13分,築13年,9階建,5階,7.9万円,14000円,-,-,1K,25.84m2,https://suumo.jp/chintai/jnc_000068566635/?bc=100251962861
ＴＲＡＤＩＳＮＩＰＰＯＲＩ．Ｓ,賃貸マンション,東京都荒川区東日暮里５,ＪＲ京浜東北線/西日暮里駅 歩16分,築13年,9階建,6階,7.8万円,14000円,-,-,1K,25.32m2,https://suumo.jp/chintai/jnc_000073011217/?bc=100272741197
ＴＲＡＤＩＳＮＩＰＰＯＲＩ．Ｓ,賃貸マンション,東京都荒川区東日暮里５,ＪＲ京浜東北線/西日暮里駅 歩16分,築13年,9階建,5階,7.9万円,14000円,-,-,1K,25.84m2,https://suumo.jp/chintai/jnc_000068566635/?bc=100251962861
ウインド・フィル,賃貸アパート,東京都足立区皿沼３,日暮里・舎人ライナー/谷在家駅 歩9分,築10年,3階建,1階,9.8万円,4800円,-,4.9万円,2LDK,56.71m2,https://suumo.jp/chintai/jnc_000073063468/?bc=100275950034
ウインド・フィル,賃貸アパート,東京都足立区皿沼３,日暮里・舎人ライナー/谷在家駅 歩9分,築10年,3階建,1階,9.8万円,5300円,-,4.9万円,2LDK,56.71m2,https://suumo.jp/chintai/jnc_000073049914/?bc=100276118804
ウインド・フィル,賃貸アパート,東京都足立区皿沼３,東武伊勢崎線/竹ノ塚駅 歩30分,築10年,3階建,1階,9.8万円,4800円,-,4.9万円,2LDK,56.71m2,https://suumo.jp/chintai/jnc_000073063468/?bc=100275950034
ウインド・フィル,賃貸アパート,東京都足立区皿沼３,東武伊勢崎線/竹ノ塚駅 歩30分,築10年,3階建,1階,9.8万円,5300円,-,4.9万円,2LDK,56.71m2,https://suumo.jp/chintai/jnc_000073049914/?bc=100276118804
ウインド・フィル,賃貸アパート,東京都足立区皿沼３,東武大師線/大師前駅 歩30分,築10年,3階建,1階,9.8万円,4800円,-,4.9万円,2LDK,56.71m2,https://suumo.jp/chintai/jnc_000073063468/?bc=100275950034
ウインド・フィル,賃貸アパート,東京都足立区皿沼３,東武大師線/大師前駅 歩30分,築10年,3階建,1階,9.8万円,5300円,-,4.9万円,2LDK,56.71m2,https://suumo.jp/chintai/jnc_000073049914/?bc=100276118804
ソフィア葛西,賃貸マンション,東京都江戸川区中葛西５,東京メトロ東西線/葛西駅 歩6分,築20年,7階建,2階,12万円,8000円,12万円,-,2LDK,52.51m2,https://suumo.jp/chintai/jnc_000013550955/?bc=100276134953
